Seller	No. of times it competes for buybox	No. of times it wins the buybox
NBA BOOKS	18	0
RFCB	15	2
SRS Book	16	0
LIVING BOOKS	2	0
GAURAV BINDING	4	0
Galaxy Corner	1	0
College Book Store.	2	0
Book Factory 2020	2	0
Book Cob	10	0
Book Buffet	17	0
HSS TRADERS	5	0
Seattle Store	11	1
Om Sakthi Books International	31	1
ks group	2	0
BOOK RADAR	22	1
NOBEL BOOKS CENTER	4	0
MEDICAL BOOKS CART COM	1	0
Reading Comic	1	0
Gayatri Emporium	6	0
mukul books	1	0
Supercom	1	0
CONCEPT KART®	5	0
Need For You	6	0
SharadaEnterprise	1	0
Sameer Book House	1	0
Geetha Enterprises, Bangalore	10	0
Poly collections Books	8	0
Rk & company	29	1
Indian Professional Library	5	0
Gksbookstall	1	0
Surya Photostate & Book Shop	2	0
EverythingStore-2020	4	2
Patrika Book Centre (A House of Design Books)	8	0
ONS BOOKS	6	0
SmartenE	1	0
DSR Book Distributors	13	1
Kaveri Book Service	2	0
Amazing - Indian Books	5	0
Amazing Publishers & Distributing Network	10	0
Bookkish India	9	0
Victory TradiN	1	0
aMuse	15	2
COMPETITION PARADISE	7	0
Shiv saicollection	1	0
Blue Sea Book House	8	0
World Publishing	4	0
Exclusive online books	12	0
BOOKS BAZAR	13	0
JAYA.	21	0
Oaksnaps	4	0
OK Book Center	2	0
OPUSKART IN	8	2
Praytek	1	0
RCPL Book$ Masion.	0	1
Medical Book World India	4	0
NEW BOOK SHOPS	1	0
Balaji World of Books	12	0
srkbooks	8	0
Santosh Book Enterprises	9	0
Self improvement and business books	1	0
INDIA BOOK HOUSE	12	2
EPD Books	13	0
Namana Book Palace	7	0
AARTS ENTERPRISES	4	0
Ranthambore Marketing	8	0
Amazing Publications & Distributing Network	21	0
cloud_Books	3	0
AmzBook Ship From USA	1	0
Hi-Tech Book Services	2	1
CompareMRP	1	0
Gyan Books Pvt Ltd	1	0
Pisces_Books	6	1
Goels Computer Hut	6	0
DEV BOOKS DEPOT	2	0
Aathira Books	1	0
PRATIBHABOOKS	9	1
SHREE VINAYAK PUBLICATION	1	0
ALL BOOKS GALLERY	9	0
Roshan lal book house	1	0
Maxbook	2	0
S R STORE	12	2
Amazing Books-wow	11	0
BuyYourBooks	8	0
BOOKBUZZ	10	1
WORDS CARE	9	0
RK Book	6	0
BOOKCLIQ	1	0
ET Book Distributor	4	0
Rattan and sons	1	0
